주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 긴고랑로7길 11 (중곡동),37.53523,127.06864,1,생활방범
서울특별시 광진구 긴고랑로7길 69 (중곡동),37.56545,127.08014,1,생활방범
서울특별시 광진구 긴고랑로8길 60 (중곡동),37.56534,127.08795,1,생활방범
서울특별시 광진구 아차산생태공원-다목적,37.56394,127.08526,1,생활방범
서울특별시 광진구 아차산생태공원-사무실,37.56942,127.08318,1,생활방범
서울특별시 광진구 아차산생태공원-상록천,37.56923,127.08241,1,생활방범
서울특별시 광진구 아차산생태공원-생태자료,37.57024,127.08383,1,생활방범
서울특별시 광진구 아차산생태공원-소각장,37.56826,127.08799,1,생활방범
서울특별시 광진구 아차산생태공원-습지,37.55367,127.08984,1,생활방범
서울특별시 광진구 아차산생태공원-토요,37.56269,127.08773,1,생활방범
서울특별시 광진구 아차산생태공원-해맞이공원,37.56016,127.09054,1,생활방범
서울특별시 광진구 약초원소공원,37.55352,127.08018,1,생활방범
서울특별시 광진구 영화사로 107,37.54591,127.08591,1,생활방범
서울특별시 광진구 영화사로 11길 39,37.54552,127.10227,1,생활방범
서울특별시 광진구 영화사로 139,37.55119,127.1107,1,생활방범
서울특별시 광진구 영화사로 16,37.55678,127.07822,1,생활방범
서울특별시 광진구 영화사로 51 (중곡동),37.55653,127.07284,1,생활방범
서울특별시 광진구 영화사로107,37.54438,127.08803,1,생활방범
서울특별시 광진구 영화사로11길 22 (구의동),37.54028,127.08616,1,생활방범
서울특별시 광진구 영화사로139 (인근),37.53877,127.08924,1,생활방범
서울특별시 광진구 영화사로139 (인근),37.5378,127.08702,1,생활방범
서울특별시 광진구 영화사로13길21,37.54186,127.09122,1,생활방범
서울특별시 광진구 영화사로15길 25,37.53591,127.09037,1,생활방범
서울특별시 광진구 영화사로16가길 21 (구의동),37.5337,127.07868,1,생활방범
서울특별시 광진구 영화사로16길 19 (구의동),37.53272,127.07929,1,생활방범
서울특별시 광진구 영화사로16나길 21 (구의동),37.53228,127.08503,1,생활방범
서울특별시 광진구 영화사로3가길 25 (중곡동),37.53891,127.08242,1,생활방범
서울특별시 광진구 영화사로3가길 9 (중곡동),37.53457,127.08329,1,생활방범
서울특별시 광진구 영화사로3나길 28,37.53205,127.08728,1,생활방범
서울특별시 광진구 영화사로5길 25 (중곡동),37.52923,127.07838,1,생활방범
서울특별시 광진구 영화사로7길 24 (중곡동),37.53318,127.08758,1,생활방범
서울특별시 광진구 영화사로7길 25 (중곡동),37.52896,127.07979,1,생활방범
서울특별시 광진구 영화사로7길 25 (중곡동),37.53059,127.07413,1,생활방범
서울특별시 광진구 영화사로9가길 39-15 (중곡동),37.53552,127.07637,1,생활방범
서울특별시 광진구 영화사로9가길 61 (중곡동),37.53306,127.06439,1,생활방범
서울특별시 광진구 영화사로9길 10 (중곡동),37.53611,127.06595,1,생활방범
서울특별시 광진구 영화사로9길 70-12 (중곡동),37.54018,127.06486,1,생활방범
서울특별시 광진구 용마도시자연공원-마지막골,37.5413,127.06451,1,생활방범
서울특별시 광진구 용마도시자연공원-사무실,37.53217,127.06512,1,생활방범
